Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
02 MAR 2021,"3 Lima Street, EDENS LANDING QLD 4207",956m²,3,1,4,445000,https://www.domain.com.au/3-lima-street-edens-landing-qld-4207-2016777229
26 FEB 2021,"5 Costigan Terrace, EDENS LANDING QLD 4207",683m²,4,2,2,425000,https://www.domain.com.au/5-costigan-terrace-edens-landing-qld-4207-2016763671
25 FEB 2021,"32 Hillside Crescent, EDENS LANDING QLD 4207",700m²,5,2,0,507000,https://www.domain.com.au/32-hillside-crescent-edens-landing-qld-4207-2016736844
25 FEB 2021,"33/108 Overland Drive, EDENS LANDING QLD 4207",N/A,3,1,1,225200,https://www.domain.com.au/33-108-overland-drive-edens-landing-qld-4207-2016731077
22 FEB 2021,"2/1 Delanty Court, EDENS LANDING QLD 4207",154m²,2,1,1,238000,https://www.domain.com.au/2-1-delanty-court-edens-landing-qld-4207-2016764478
15 FEB 2021,"89 Castile Crescent, EDENS LANDING QLD 4207","1,297m²",5,2,5,690000,https://www.domain.com.au/89-castile-crescent-edens-landing-qld-4207-2016786977
11 FEB 2021,"38 Overland Drive, EDENS LANDING QLD 4207",872m²,4,2,2,510000,https://www.domain.com.au/38-overland-drive-edens-landing-qld-4207-2016689344
11 FEB 2021,"7/129 Castile Crescent, EDENS LANDING QLD 4207",61m²,2,1,1,199000,https://www.domain.com.au/7-129-castile-crescent-edens-landing-qld-4207-2015937138
09 FEB 2021,"48 Kummara Road, EDENS LANDING QLD 4207",636m²,4,2,2,410000,https://www.domain.com.au/48-kummara-road-edens-landing-qld-4207-2016773277
01 FEB 2021,"30 Wantana Cres, EDENS LANDING QLD 4207",974m²,5,2,4,565000,https://www.domain.com.au/30-wantana-cres-edens-landing-qld-4207-2016641297
29 JAN 2021,"61 Overland Drive, EDENS LANDING QLD 4207",817m²,5,2,3,469100,https://www.domain.com.au/61-overland-drive-edens-landing-qld-4207-2016767419
21 JAN 2021,"1/62 CASTILLE CRESCENT, EDENS LANDING QLD 4207",157m²,3,2,2,310000,https://www.domain.com.au/1-62-castille-crescent-edens-landing-qld-4207-2016428881
19 JAN 2021,"32/50 Castile Cres, EDENS LANDING QLD 4207",N/A,2,1,1,212000,https://www.domain.com.au/32-50-castile-cres-edens-landing-qld-4207-2015410503
18 JAN 2021,"13/5 Delanty Court, EDENS LANDING QLD 4207",215m²,3,1,1,225000,https://www.domain.com.au/13-5-delanty-court-edens-landing-qld-4207-2016658867
07 JAN 2021,EDENS LANDING QLD 4207EDENS LANDING QLD 4207,174m²,2,1,1,235000,https://www.domain.com.au/edens-landing-qld-4207-2016637714
06 JAN 2021,"4 Sussanah Tce, EDENS LANDING QLD 4207",604m²,3,1,1,357500,https://www.domain.com.au/4-sussanah-tce-edens-landing-qld-4207-2016631750
06 JAN 2021,"42 Kummara Road, EDENS LANDING QLD 4207",769m²,4,1,2,380000,https://www.domain.com.au/42-kummara-road-edens-landing-qld-4207-2016701819
30 DEC 2020,"31 Kummara Road, EDENS LANDING QLD 4207",760m²,4,2,4,445000,https://www.domain.com.au/31-kummara-road-edens-landing-qld-4207-2016569717
23 DEC 2020,"8 Sussanah Tce, EDENS LANDING QLD 4207",627m²,3,1,1,310000,https://www.domain.com.au/8-sussanah-tce-edens-landing-qld-4207-2016542320
23 DEC 2020,"6 Tregana Circuit, EDENS LANDING QLD 4207",482m²,3,1,1,270000,https://www.domain.com.au/6-tregana-circuit-edens-landing-qld-4207-2016595534
22 DEC 2020,"23 Leighton Drive, EDENS LANDING QLD 4207",868m²,4,2,1,362000,https://www.domain.com.au/23-leighton-drive-edens-landing-qld-4207-2016401850
18 DEC 2020,"22 Auburn Street, EDENS LANDING QLD 4207",863m²,2,1,1,330000,https://www.domain.com.au/22-auburn-street-edens-landing-qld-4207-2016477208
16 DEC 2020,"13 Auburn St, EDENS LANDING QLD 4207","1,042m²",4,2,5,480000,https://www.domain.com.au/13-auburn-st-edens-landing-qld-4207-2016661666
07 DEC 2020,"9 Nexus Close, EDENS LANDING QLD 4207","1,157m²",4,3,3,448000,https://www.domain.com.au/9-nexus-close-edens-landing-qld-4207-2016475198
04 DEC 2020,"8 Nexus Close, EDENS LANDING QLD 4207",720m²,4,2,2,590000,https://www.domain.com.au/8-nexus-close-edens-landing-qld-4207-2016515482
30 NOV 2020,"1 Arup Tce, EDENS LANDING QLD 4207",826m²,3,1,3,450000,https://www.domain.com.au/1-arup-tce-edens-landing-qld-4207-2016629387
