Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
06 APR 2021,"9 Foxhall Street, BORONIA HEIGHTS QLD 4124",777m²,3,1,1,370000,https://www.domain.com.au/9-foxhall-street-boronia-heights-qld-4124-2016859046
06 APR 2021,"62 Moreton Street, BORONIA HEIGHTS QLD 4124",602m²,4,1,1,347000,https://www.domain.com.au/62-moreton-street-boronia-heights-qld-4124-2016795881
01 APR 2021,"7 Scott Court, BORONIA HEIGHTS QLD 4124",636m²,4,1,1,312500,https://www.domain.com.au/7-scott-court-boronia-heights-qld-4124-2016833659
29 MAR 2021,"36 Samantha Street, BORONIA HEIGHTS QLD 4124",608m²,4,1,2,410000,https://www.domain.com.au/36-samantha-street-boronia-heights-qld-4124-2016762427
29 MAR 2021,"42 Coronation Road, BORONIA HEIGHTS QLD 4124",600m²,3,1,3,366000,https://www.domain.com.au/42-coronation-road-boronia-heights-qld-4124-2017016711
22 MAR 2021,"7 Town Court, BORONIA HEIGHTS QLD 4124",632m²,4,1,2,422000,https://www.domain.com.au/7-town-court-boronia-heights-qld-4124-2016993072
20 MAR 2021,"18 Gatland Court, BORONIA HEIGHTS QLD 4124",601m²,5,3,1,560000,https://www.domain.com.au/18-gatland-court-boronia-heights-qld-4124-2016865634
19 MAR 2021,"16 Conlan Street, BORONIA HEIGHTS QLD 4124",608m²,3,1,1,342500,https://www.domain.com.au/16-conlan-street-boronia-heights-qld-4124-2016255863
17 MAR 2021,"31 Samantha Street, BORONIA HEIGHTS QLD 4124",638m²,4,1,4,435000,https://www.domain.com.au/31-samantha-street-boronia-heights-qld-4124-2016815702
16 MAR 2021,"10 Dunblane Drive, BORONIA HEIGHTS QLD 4124",720m²,3,2,1,310000,https://www.domain.com.au/10-dunblane-drive-boronia-heights-qld-4124-2016797245
