Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
13 AUG 2020,"7 Irvine Crescent, RYDE NSW 2112",N/A,4,2,2,1520000,https://www.domain.com.au/7-irvine-crescent-ryde-nsw-2112-2016374806
04 JUL 2020,"12A Union Street, EASTWOOD NSW 2122",522m²,5,2,2,1635000,https://www.domain.com.au/12a-union-street-eastwood-nsw-2122-2016305786
30 MAY 2020,"17B Trelawney Street, EASTWOOD NSW 2122",N/A,3,2,1,1427000,https://www.domain.com.au/17b-trelawney-street-eastwood-nsw-2122-2016250432
09 MAY 2020,"7A Hockley Road, EASTWOOD NSW 2122",N/A,4,2,1,1700000,https://www.domain.com.au/7a-hockley-road-eastwood-nsw-2122-2016206554
14 MAR 2020,"20A Woorang Street, EASTWOOD NSW 2122",N/A,5,3,1,1920000,https://www.domain.com.au/20a-woorang-street-eastwood-nsw-2122-2016077050
14 MAR 2020,"20 Woorang Street, EASTWOOD NSW 2122",N/A,5,3,1,1920000,https://www.domain.com.au/20-woorang-street-eastwood-nsw-2122-2016169038
25 JAN 2020,"122A Coxs Road, NORTH RYDE NSW 2113",N/A,5,3,1,1665000,https://www.domain.com.au/122a-coxs-road-north-ryde-nsw-2113-2015849306
14 DEC 2019,"122 Coxs Road, NORTH RYDE NSW 2113",N/A,4,3,1,1610000,https://www.domain.com.au/122-coxs-road-north-ryde-nsw-2113-2015849236
10 DEC 2019,"7A Irvine Crescent, RYDE NSW 2112",N/A,4,2,2,1500000,https://www.domain.com.au/7a-irvine-crescent-ryde-nsw-2112-2015857640
07 DEC 2019,"59 Carrington Crescent, EASTWOOD NSW 2122",N/A,5,3,2,1725000,https://www.domain.com.au/59-carrington-crescent-eastwood-nsw-2122-2015849819
29 NOV 2019,"1B Benson Street, WEST RYDE NSW 2114",N/A,3,2,2,1311000,https://www.domain.com.au/1b-benson-street-west-ryde-nsw-2114-2015845671
20 NOV 2019,"14B David Avenue, NORTH RYDE NSW 2113",N/A,3,3,2,1580000,https://www.domain.com.au/14b-david-avenue-north-ryde-nsw-2113-2015827463
11 NOV 2019,"73A Wicks Road, NORTH RYDE NSW 2113",N/A,3,3,1,1235000,https://www.domain.com.au/73a-wicks-road-north-ryde-nsw-2113-2015826987
26 OCT 2019,"8A Wolger Road, RYDE NSW 2112",N/A,3,2,2,1210000,https://www.domain.com.au/8a-wolger-road-ryde-nsw-2112-2015678701
04 OCT 2019,"1 Mavis Street, NORTH RYDE NSW 2113",N/A,4,3,1,1600000,https://www.domain.com.au/1-mavis-street-north-ryde-nsw-2113-2015626047
04 OCT 2019,"55 Marsden Road, WEST RYDE NSW 2114",N/A,3,2,2,1100000,https://www.domain.com.au/55-marsden-road-west-ryde-nsw-2114-2015634662
01 OCT 2019,"255A Ryedale Road, EASTWOOD NSW 2122",N/A,3,2,1,1390000,https://www.domain.com.au/255a-ryedale-road-eastwood-nsw-2122-2015617520
30 SEP 2019,"5A Rokeva Street, EASTWOOD NSW 2122",N/A,5,3,2,1650000,https://www.domain.com.au/5a-rokeva-street-eastwood-nsw-2122-2015552570
29 AUG 2019,"157 North Road, EASTWOOD NSW 2122",N/A,5,3,2,1590000,https://www.domain.com.au/157-north-road-eastwood-nsw-2122-2015503899
10 JUL 2019,"56 Winbourne Street, WEST RYDE NSW 2114",504m²,5,4,2,1700000,https://www.domain.com.au/56-winbourne-street-west-ryde-nsw-2114-2015003507
15 JUN 2019,"4 Northcott Street, NORTH RYDE NSW 2113",382m²,3,2,2,1210000,https://www.domain.com.au/4-northcott-street-north-ryde-nsw-2113-2015290455
11 MAY 2019,"36A David Avenue, NORTH RYDE NSW 2113",303m²,3,2,2,1068000,https://www.domain.com.au/36a-david-avenue-north-ryde-nsw-2113-2015121482
29 MAR 2019,"73A Coxs Road, NORTH RYDE NSW 2113",383m²,4,2,1,1300000,https://www.domain.com.au/73a-coxs-road-north-ryde-nsw-2113-2014994309
22 FEB 2019,"33B Wentworth Road, EASTWOOD NSW 2122",N/A,4,3,1,1500000,https://www.domain.com.au/33b-wentworth-road-eastwood-nsw-2122-2014913621
12 FEB 2019,"6B Bidgee Road, RYDE NSW 2112",N/A,3,3,2,1150000,https://www.domain.com.au/6b-bidgee-road-ryde-nsw-2112-2014902898
15 JAN 2019,"11 Culgoa Avenue, EASTWOOD NSW 2122",N/A,4,3,2,1280000,https://www.domain.com.au/11-culgoa-avenue-eastwood-nsw-2122-2014793976
