Date Sold,Address,Land Area,Beds,Baths,Cars,Sale Price,Link
30 JUL 2021,"5 Parklink Drive, REDLAND BAY QLD 4165",633m²,5,2,2,755000,https://www.domain.com.au/5-parklink-drive-redland-bay-qld-4165-2017153954
30 JUL 2021,"17 Falkirk Parade, REDLAND BAY QLD 4165",600m²,4,2,4,600000,https://www.domain.com.au/17-falkirk-parade-redland-bay-qld-4165-2017115237
29 JUL 2021,"29/20 Salisbury Street, REDLAND BAY QLD 4165",N/A,3,2,2,510000,https://www.domain.com.au/29-20-salisbury-street-redland-bay-qld-4165-2017091775
28 JUL 2021,"48 Lancaster Circuit, REDLAND BAY QLD 4165",450m²,4,2,2,585000,https://www.domain.com.au/48-lancaster-circuit-redland-bay-qld-4165-2017100241
26 JUL 2021,"56 Main Street, REDLAND BAY QLD 4165",672m²,0,0,2,425000,https://www.domain.com.au/56-main-street-redland-bay-qld-4165-2016568057
23 JUL 2021,"29A Boundary Street, REDLAND BAY QLD 4165",719m²,3,1,2,515000,https://www.domain.com.au/29a-boundary-street-redland-bay-qld-4165-2017014738
21 JUL 2021,"24 North Street, REDLAND BAY QLD 4165",605m²,3,1,2,612000,https://www.domain.com.au/24-north-street-redland-bay-qld-4165-2017058581
20 JUL 2021,"27 Peel Street, REDLAND BAY QLD 4165",506m²,3,2,1,635000,https://www.domain.com.au/27-peel-street-redland-bay-qld-4165-2017139038
19 JUL 2021,"3 Denham Boulevard, REDLAND BAY QLD 4165",706m²,4,2,2,823500,https://www.domain.com.au/3-denham-boulevard-redland-bay-qld-4165-2017141525
19 JUL 2021,"8 Haslingden Drive, REDLAND BAY QLD 4165",701m²,4,2,2,905000,https://www.domain.com.au/8-haslingden-drive-redland-bay-qld-4165-2017113407
16 JUL 2021,"26 Attenborough Circuit, REDLAND BAY QLD 4165",700m²,4,2,2,750000,https://www.domain.com.au/26-attenborough-circuit-redland-bay-qld-4165-2017046501
15 JUL 2021,"29 Lime Street, REDLAND BAY QLD 4165",518m²,4,2,2,550500,https://www.domain.com.au/29-lime-street-redland-bay-qld-4165-2017084670
